Name,Type,Rarity,Price,Type2,Description,Found1,Found2
Potion of Fire Breath,Potion,Uncommon,150 gp,,"After drinking this potion, you can use a bonus action to exhale fire at a target within 30 feet of you. The target must make a DC 13 Dexterity saving throw, taking 4d6 fire damage on a failed save, or half as much damage on a successful one. The effect ends after you exhale the fire three times or when 1 hour has passed. This potion's orange liquid flickers, and smoke fills the top of the container and wafts out whenever it is opened.",D20,D20
Potion of Hill Giant Strength,Potion,Uncommon,200 gp,,"When you drink this potion, your Strength score changes to 21 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a giant of the appropriate type.",Traveler,
Potion of Animal Friendship,Potion,Uncommon,250 gp,,"When you drink this potion, you can cast the animal friendship spell (save DC 13) for 1 hour at will. Agitating this muddy liquid brings little bits into view: a fish scale, a hummingbird tongue, a cat claw, or a squirrel hair.",Frozenfar,
Silvered arrowheads,Weapon (ammunition),Uncommon,100 gp,,A silvered weapon is not affected by resistances against non-magical weapons. It is however not magical by itself. It can be magical if enchanted.,Half-moon tomb in the elven tomb in Lonelywood forest.,
Eyes of minute seeing,Wondrous item,Uncommon,400 gp,,"These crystal lenses fit over the eyes. While wearing them, you can see much better than normal out to a range of 1 foot. You have advantage on Intelligence (Investigation) checks that rely on sight while searching an area or studying an object within that range.",Jeweler,
Shield +1,Shield,Uncommon,500 gp,,"While holding this shield, you have a bonus to AC determined by the shield's rarity. This bonus is in addition to the shield's normal bonus to AC.",,
Ring of Swimming,Equipment (ring),Uncommon,500 gp,,Thick silver cuff ring with a pattern of scales. You have a swimming speed of 40 feet while wearing this ring.,D20,D20
Bag of tricks,Wondrous item,Uncommon,500 gp,,"This ordinary bag, made from gray, rust, or tan cloth, appears empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object. The bag weighs 1/2 pound. You can use an action to pull the fuzzy object from the bag and throw it up to 20 feet. When the object lands, it transforms into a creature you determine by rolling a d8 and consulting the table that corresponds to the bag's color. The creature vanishes at the next dawn or when it is reduced to 0 hit points. The creature is friendly to you and your companions, and it acts on your turn. You can use a bonus action to command how the creature moves and what action it takes on its next turn, or to give it general orders, such as to attack your enemies. In the absence of such orders, the creature acts in a fashion appropriate to its nature.
Once three fuzzy objects have been pulled from the bag, the bag can't be used again until the next dawn. https://www.aidedd.org/dnd/om.php?vo=bag-of-tricks ",Given as a payment by captain Arlaggath,
Ring of Warmth,Equipment (ring),Uncommon,500 gp,Attunement,"Wooden ring with a painted carving of two artic foxes sleeping. While wearing this ring, you have resistance to cold damage. In addition, you and everything you wear and carry are unharmed by temperatures as low as -50 degrees Fahrenheit.","Neck of Marta, the girl in Termalaine's Inn",
Ring of Water Walking,Equipment (ring),Uncommon,500 gp,,"Silver cuff ring with a pattern of waves inlaid with mother-of-pearl. While wearing this ring, you can stand on and move across any liquid surface as if it were solid ground.",,
Pearl of Power,Wondrous item,Uncommon,500 gp,Attunement by a spellcaster,"While this pearl is on your person, you can use an action to speak its command word and regain one expended spell slot. If the expended slot was of 4th level or higher, the new slot is 3rd level. Once you have used the pearl, it can't be used again until the next dawn.",Jeweler,
Periapt of Health,Equipment (necklace),Uncommon,500 gp,,"Pendant made of a little pouch containing various herbs and a crystal. It smells like an apothecary's shop. You are immune to contracting any disease while you wear this pendant. If you are already infected with a disease, the effects of the disease are suppressed you while you wear the pendant.",D20,D20
Mithral Scale Mail,Armor (scale mail),Uncommon,650 gp,Medium armor proficiency,"This scale mail is surprisingly light. Like other scale mails, it gives an AC of 14 + Dex mod (max 2), although it doesn't give disadvantage on Stealth checks.",Forge,
Mithral Chain Mail,Armor (chain mail),Uncommon,750 gp,"Strength of 13, heavy armor proficiency","This chain mail is surprisingly light. Like other chain mails, it gives an AC of 16, but doesn't give disadvantage of Stealth checks.",D20,D20
Necklace of Adaptation,Equipment (necklace),Uncommon,750 gp,Attunement,"Gold collar neckpiece with two bird bones and two coral pieces dangling at the front. While wearing this necklace, you can breathe normally in any environment, and you have advantage on saving throws made against harmful gases and vapors (such as cloudkill and stinking cloud effects, inhaled poisons, and the breath weapons of some dragons).",,
Robe of Useful Items,Equipment (robe),Uncommon,600 gp,,"This robe has cloth patches of various shapes and colors covering it. While wearing the robe, you can use an action to detach one of the patches, causing it to become the object or creature it represents. Once the last patch is removed, the robe becomes an ordinary garment. Object list: https://www.aidedd.org/dnd/om.php?vo=robe-of-useful-items ",,
Boots of the Winterland,Equipment (boots),Uncommon,500 gp,Attunement,"These furred boots are snug, comfy as slippers and feel quite warm. While you wear them, you gain the following benefits: You have resistance to cold damage; You ignore difficult terrain created by ice or snow; You can tolerate temperatures as low as -50 degrees Fahrenheit without any additional protection. If you wear heavy clothes, you can tolerate temperatures as low as -100 degrees Fahrenheit.",Owned by them,
Javelin of Lightning,Weapon (ammunition),Uncommon,500 gp,,"This javelin is a magic weapon. When you hurl it and speak its command word, it transforms into a bolt of lightning, forming a line 5 feet wide that extends out from you to a target within 120 feet. Each creature in the line excluding you and the target must make a DC 13 Dexterity saving throw, taking 4d6 lightning damage on a failed save, and half as much damage on a successful one. The lightning bolt turns back into a javelin when it reaches the target. Make a ranged weapon attack against the target. On a hit, the target takes damage from the javelin plus 4d6 lightning damage. The javelin's property can't be used again until the next dawn. In the meantime, the javelin can still be used as a magic weapon.",Forge,
Dreamcatcher,Wondrous item,Uncommon,500 gp,Attunement,"15 centimeter wide dreamcatcher made traditionally of a wooden frame, leather threads and decorated with bird bones and feathers. Literally catches dreams. If placed above someone while they sleep, it is possible for the sleeper to watch their dreams from the night before in the catcher. Used traditionally by druids and shaman to interpret dreams.",D20,D20
Mariner's Armor,Armor (leather),Uncommon,550 gp,,"Oddly shiny leather armor. Seems waterproof. While wearing this armor, you have a swimming speed equal to your walking speed. In addition, whenever you start your turn underwater with 0 hit points, the armor causes you to rise 60 feet toward the surface. The armor is decorated with fish and shell motifs.",Frozenfar,
Cloak of the manta ray,Equipment (cloak),Uncommon,700 gp,,"Short shoulder cloak made of a thick fabric on which water drops roll. It is dark grey on the outside and pale grey on the inside, with some golden thread designs on the edges. While wearing this cloak with its hood up, you can breathe underwater, and you have a swimming speed of 60 feet. Pulling the hood up or down requires an action.",,
Tasseled Piercers,Weapon (bo-shuriken/piercer),Uncommon,500 gp,,"Thin and deadly hair pin, with a jade pearl and a tassle dangling from it. Very fashionable. Same statistics as a dagger, but only piercing damage. You have a bonus of +1 to attack and damage rolls made with this magic weapon. ",D20,D20
Battlecry,Weapon (iron flute),Uncommon,500 gp,,Long flute made of very sturdy metal. Ideal to alternate between playing a war anthem and participating in the melee. (This iron flute would normally cause 1d6 of bludgeonning damage and has similar properties with a quarterstaff.) You have a bonus of +1 to attack and damage rolls made with this magic weapon. ,,
Bouncer,Weapon (brass knuckles),Uncommon,500 gp,,"Simple brassknuckles with dwarvish runes for ""strength"" and ""duty"" carved on them. (Brass knuckles normally cause 1d4 bludgeonning damage.) You have a bonus of +1 to attack and damage rolls made with this magic weapon. Can be used with barehanded techniques.",,
Bracers of Archery,Equipment (bracers),Uncommon,750 gp,Attunement,"Leather bracers reinforced with gracefully shaped silver that follows the engravings of elfic design on the leather. While wearing these bracers, you have proficiency with the longbow and shortbow, and you gain a +2 bonus to damage rolls on ranged attacks made with such weapons.",,
Gauntlets of Ogre Strength,Equipment (gauntlets),Uncommon,650 gp,Attunement,Silver and brass articulate gauntlets that probably don't match with your outfit. Your Strength score is 19 while you wear these gauntlets. They have no effect on you if your Strength is 19 or higher without them.,,
Cloak of elvenkind,Equipment (cloak),Uncommon,700 gp,Attunement,"Comfortable cloak of covering design with a large hood. The fabric is flowy like water and the colour difficult to determine, as if it were reflecting the light around it. While you wear this cloak with its hood up, Wisdom (Perception) checks made to see you have disadvantage, and you have advantage on Dexterity (Stealth) checks made to hide, as the cloak's color shifts to camouflage you. Pulling the hood up or down requires an action.",D20,
Cloak of protection,Equipment (cloak),Uncommon,800 gp,Attunement,Nice cloak of thick night blue fabric with subtle gold thread lining at the edges. You gain a +1 bonus to AC and saving throws while you wear this cloak.,,
Amulet of Proof against Detection and Location,Equipment (necklace),Uncommon,990 gp,Attunement,"While wearing this amulet, you are hidden from divination magic. You can't be targeted by such magic or perceived through magical scrying sensors.",,
Deck of Illusions,Wondrous item,Uncommon,4000 gp,,"This box contains a set of parchment cards. A full deck has 34 cards. A deck found as treasure is usually missing 1d20 - 1 cards. The magic of the deck functions only if cards are drawn at random (you can use an altered deck of playing cards to simulate the deck). You can use an action to draw a card at random from the deck and throw it to the ground at a point within 30 feet of you. An illusion of one or more creatures forms over the thrown card and remains until dispelled. An illusory creature appears real, of the appropriate size, and behaves as if it were a real creature except that it can do no harm. While you are within 120 feet of the illusory creature and can see it, you can use an action to move it magically anywhere within 30 feet of its card. Any physical interaction with the illusory creature reveals it to be an illusion, because objects pass through it. Someone who uses an action to visually inspect the creature identifies it as illusory with a successful DC 15 Intelligence (Investigation) check. The creature then appears translucent. The illusion lasts until its card is moved or the illusion is dispelled. When the illusion ends, the image on its card disappears, and that card can't be used again. https://www.aidedd.org/dnd/om.php?vo=deck-of-illusions ",Traveler,
Gloves of Missile Snaring,Equipment (gloves),Uncommon,500 gp,Attunement,"Fine black leather gloves addorned with arrow-shaped silver threads. These gloves seem to almost meld into your hands when you don them. When a ranged weapon attack hits you while you're wearing them, you can use your reaction to reduce the damage by 1d10 + your Dexterity modifier, provided that you have a free hand. If you reduce the damage to 0, you can catch the missile if it is small enough for you to hold in that hand.",,
Gloves of Swimming and Climbing,Equipment (gloves),Uncommon,500 gp,Attunement,"Brown leather gloves protecting the fingers and the palms. While wearing these gloves, climbing and swimming don't cost you extra movement, and you gain a +5 bonus to Strength (Athletics) checks made to climb or swim.",,
Quiver of Ehlonna,Wondrous item,Uncommon,800 gp,,"Thin and elegant quiver of leather reinforced with silver carved with leaves patterns. Each of the quiver's three compartments connects to an extradimensional space that allows the quiver to hold numerous items while never weighing more than 2 pounds. The shortest compartment can hold up to sixty arrows, bolts, or similar objects. The midsize compartment holds up to eighteen javelins or similar objects. The longest compartment holds up to six long objects, such as bows, quarterstaffs, or spears. ou can draw any item the quiver contains as if doing so from a regular quiver or scabbard.",,
Hat of Disguise,Equipment (hat),Uncommon,500 gp,Attunement,"Green top hat with feasant feathers. While wearing this hat, you can use an action to cast the disguise self spell from it at will. The spell ends if the hat is removed.",,
Keoghtom's Ointment,Potion,Uncommon,700 gp,,"This glass jar, 3 inches in diameter, contains 1d4 + 1 doses of a thick mixture that smells faintly of aloe. The jar and its contents weigh 1/2 pound. As an action, one dose of the ointment can be swallowed or applied to the skin. The creature that receives it regains 2d8 + 2 hit points, ceases to be poisoned, and is cured of any disease.",Traveler,
Immovable Rod,Wondrous item,Uncommon,500 gp,,"This flat iron rod has a button on one end. You can use an action to press the button, which causes the rod to become magically fixed in place. Until you or another creature uses an action to push the button again, the rod doesn't move, even if it is defying gravity. The rod can hold up to 8,000 pounds of weight. More weight causes the rod to deactivate and fall. A creature can use an action to make a DC 30 Strength check, moving the fixed rod up to 10 feet on a success.",D20,D20
Trident of Fish Command,Weapon (trident),Uncommon,500 gp,Attunement,"This trident is a magic weapon. It has 3 charges. While you carry it, you can use an action and expend 1 charge to cast dominate beast (save DC 15) from it on a beast that has an innate swimming speed. The trident regains 1d3 expended charges daily at dawn.",,
Adamantine Eridani,Armor (studded leather),Uncommon,500 gp,,"12 + Dex modifier. This suit of armor is reinforced with adamantine, one of the hardest substances in existence. The adamantine studs are placed somewhat randomly, but shine like so many little stars in the sun. While you're wearing it, any critical hit against you becomes a normal hit.",,
Alchemy Jug,Wondrous Item,Uncommon,500 gp,,"This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty. You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named. Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn. https://www.aidedd.org/dnd/om.php?vo=alchemy-jug ",,
Pipes of Haunting,Wondrous item,Uncommon,500 gp,,"You must be proficient with wind instruments to use these pipes. They have 3 charges. You can use an action to play them and expend 1 charge to create an eerie, spellbinding tune. Each creature within 30 feet of you that hears you play must succeed on a DC 15 Wisdom saving throw or become frightened of you for 1 minute. If you wish, all creatures in the area that aren't hostile toward you automatically succeed on the saving throw. A creature that fails the saving throw can repeat it at the end of each of its turns, ending the effect on itself on a success. A creature that succeeds on its saving throw is immune to the effect of these pipes for 24 hours. The pipes regain 1d3 expended charges daily at dawn.",D20,D20
Tasha's,Wondrous item,Uncommon,500 gp,,"This bag has an interior space considerably larger than its outside dimensions, roughly 2 feet in diameter at the mouth and 4 feet deep. The bag can hold up to 500 pounds, not exceeding a volume of 64 cubic feet. The bag weighs 15 pounds, regardless of its contents. Retrieving an item from the bag requires an action. If the bag is overloaded, pierced, or torn, it ruptures and is destroyed, and its contents are scattered in the Astral Plane. If the bag is turned inside out, its contents spill forth, unharmed, but the bag must be put right before it can be used again. Breathing creatures inside the bag can survive up to a number of minutes equal to 10 divided by the number of creatures (minimum 1 minute), after which time they begin to suffocate. Placing a bag of holding inside an extradimensional space created by a Heward's handy haversack, portable hole, or similar item instantly destroys both items and opens a gate to the Astral Plane. The gate originates where the one item was placed inside the other. Any creature within 10 feet of the gate is sucked through it to a random location on the Astral Plane. The gate then closes. The gate is one-way only and can't be reopened.",Placed,
Periapt of Wound Closure,Equipment (necklace),Uncommon,500 gp,Attunement,"Golden chain with a rheart-shaped ruby pendant. While you wear this pendant, you stabilize whenever you are dying at the start of your turn. In addition, whenever you roll a Hit Die to regain hit points, double the number of hit points it restores.",,
Scrimshaw owl,Wondrous item,Uncommon,500 gp,,"This white statuette of an owl can become a snow owl for up to 12 hours. Once it has been used, it can't be used again until 2 days have passed. While in owl form, the figurine allows you to cast the animal messenger spell on it at will.",Fyodor,D20
,Drug (powder),Uncommon,500 gp / 100 g,,"A powdered form of Tasha's Hideous Laughter, looks like a great time, but really isn't. Save DC 17.",Torg,D20
Stone of Good Luck,Wondrous item,Uncommon,500 gp,Attunement,"While this polished agate is on your person, you gain a +1 bonus to ability checks and saving throws.",Ic,Ic
Broom of Flying,Wondrous item,Uncommon,900 gp,Attunement,"This wooden broom, which weighs 3 pounds, looks and functions like a mundane broom, although it is definitely not the best sweeping experience you have had. That is, until you stand astride it and speak its command word. It then hovers beneath you and can be ridden in the air. It has a flying speed of 50 feet. It can carry up to 400 pounds, but its flying speed becomes 30 feet while carrying over 200 pounds. The broom stops hovering when you land. You can send the broom to travel alone to a destination within 1 mile of you if you speak the command word, name the location, and are familiar with that place. The broom comes back to you when you speak another command word, provided that the broom is still within 1 mile of you.",,
Sphere of Truth,Wondrous item,Uncommon,900 gp,Attunement,"Glass ball the size of a fist with a silvery mist swirling in it. Once a day, when touched by a creature attuned to it, the sphere produces a 20-foot radius zone of truth (save DC 17) that lasts one hour.",Embedded in the center of the round table in the trial room of the Ten-Town council hall. (2nd floor),
Googles of Night,Equipment (glasses),Uncommon,600 gp,,"Brass and leather googles with green lenses. While wearing these dark lenses, you have darkvision out to a range of 60 feet. If you already have darkvision, wearing the goggles increases its range by 60 feet.",Owned by Fyodor Dignedor,D20
Eyes of charming,Wondrous item,Uncommon,600 gp,Attunement,"These crystal lenses fit over the eyes. For some reason, those are mounted on scrimshaw snow blindness googles. They have 3 charges. While wearing them, you can expend 1 charge as an action to cast the charm person spell (save DC 13) on a humanoid within 30 feet of you, provided that you and the target can see each other. The lenses regain all expended charges daily at dawn.",,
Ring of Jumping,Equipment (ring),Uncommon,400 gp,Attunement,"While wearing this ring, you can cast the jump spell from it as a bonus action at will, but can target only yourself when you do so.",,
Bracer of blasting,Equipment (bracer),Uncommon,600 gp,,"Wide leather bracer ornate with a gold sun. The center of the sun is a topaz. While wearing this bracer, you can use an action to cast the scorching ray spell with it. When you make the spell's attacks, you do so with an attack bonus of +5. The bracer can't be used this way again until the next dawn.",,
Eversmoking Bottle,Wondrous item,Uncommon,600 gp,,"Smoke leaks from the lead-stoppered mouth of this brass bottle, which weighs 1 pound. When you use an action to remove the stopper, a cloud of thick smoke pours out in a 60-foot radius from the bottle. The cloud's area is heavily obscured. Each minute the bottle remains open and within the cloud, the radius increases by 10 feet until it reaches its maximum radius of 120 feet. The cloud persists as long as the bottle is open. Closing the bottle requires you to speak its command word as an action. Once the bottle is closed, the cloud disperses after 10 minutes. A moderate wind (11 to 20 miles per hour) can also disperse the smoke after 1 minute, and a strong wind (21 or more miles per hour can do so after 1 round.",,
Pipes of the Sewers,Wondrous item,Uncommon,400 gp,Attunement,"Pan flute with little dancings rats painted on each of the pipes. You must be proficient with wind instruments to use these pipes. While you are attuned to the pipes, ordinary rats and giant rats are indifferent toward you and will not attack you unless you threaten or harm them. The pipes have 3 charges. If you play the pipes as an action, you can use a bonus action to expend 1 to 3 charges, calling forth one swarm of rats with each expended charge, provided that enough rats are within half a mile of you to be called in this fashion (as determined by the DM). If there aren't enough rats to form a swarm, the charge is wasted. Called swarms move toward the music by the shortest available route but aren't under your control otherwise. The pipes regain 1d3 expended charges daily at dawn. Whenever a swarm of rats that isn't under another creature's control comes within 30 feet of you while you are playing the pipes, you can make a Charisma check contested by the swarm's Wisdom check. If you lose the contest, the swarm behaves as it normally would and can't be swayed by the pipes' music for the next 24 hours. If you win the contest, the swarm is swayed by the pipes' music and becomes friendly to you and your companions for as long as you continue to play the pipes each round as an action. A friendly swarm obeys your commands. If you issue no commands to a friendly swarm, it defends itself but otherwise takes no actions. If a friendly swarm starts its turn and can't hear the pipes' music, your control over that swarm ends, and the swarm behaves as it normally would and can't be swayed by the pipes' music for the next 24 hours.",,
Headband of Intellect,Equipment (headband),Uncommon,600 gp,Attunement,Golden chains intertwined around your head to hold an amethyst in the center of your forehead. Your Intelligence score is 19 while you wear this headband. It has no effect on you if your Intelligence is 19 or higher without it.,,
Decanter of Endless Water,Wondrous item,Uncommon,600 gp,,"Flask made of a blue coloured horn and reinforced with brass at the tip and the base, where the opening is. The horn and the brass are both carved with patterns ressembling waves. This stoppered flask sloshes when shaken, as if it contains water. The decanter weighs 2 pounds. You can use an action to remove the stopper and speak one of three command words, whereupon an amount of fresh water or salt water (your choice pours out of the flask. The water stops pouring out at the start of your next turn. Choose from the following options: ""Stream"" produces 1 gallon of water; ""Fountain"" produces 5 gallons of water; ""Geyser"" produces 30 gallons of water that gushes forth in a geyser 30 feet long and 1 foot wide. As a bonus action while holding the decanter, you can aim the geyser at a creature you can see within 30 feet of you. The target must succeed on a DC 13 Strength saving throw or take 1d4 bludgeoning damage and fall prone. Instead of a creature, you can target an object that isn't being worn or carried and that weighs no more than 200 pounds. The object is either knocked over or pushed up to 15 feet away from you.",,
Brooch of shielding,Equipment (brooch),Uncommon,700 gp,Attunement,"Fancy assymetrical gold brooch that looks probably too expensive for your outfit. The magic rune for ""shield"" is carved on it in a stylised way. While wearing this brooch, you have resistance to force damage, and you have immunity to damage from the magic missile spell.",D20,D20
Boots of Elvenkind,Equipment (boots),Uncommon,700 gp,,"Fashionable and incredibly soft leather boots of elven design. The leather patterns create a texture resembling leaves. While you wear these boots, your steps make no sound, regardless of the surface you are moving across. You also have advantage on Dexterity (Stealth) checks that rely on moving silently.",,
Light shard,Wondrous item,Uncommon,700 gp,,"This shard of selenite weighs 1 pound. If you are within 60 feet of it, you can speak its command word and cause it to emanate the light or daylight spell. Once used, the daylight effect can't be used again until the next dawn. You can speak another command word as an action to make the illuminated globe rise into the air and float no more than 5 feet off the ground. The shard hovers in this way until you or another creature grasps it. If you move more than 60 feet from the hovering globe, it follows you until it is within 60 feet of you. It takes the shortest route to do so. If prevented from moving, the globe sinks gently to the ground and becomes inactive, and its light winks out.",D20,D20
